station_co,site_name,latitude,longitude,state,rivname,basin_name
RJUATB2612,Manpur,24.01111111,74.25555556,RAJASTHAN,Binatel,
H119,Kadwan/Matiawa,24.52138889,83.63,BIHAR,,
Adhalaa,Adhala,19.61222222,74.10138889,MAHARASHTRA,,
7D909446,Gokavaram,17.23444444,81.84972222,ANDHRA PRADESH,,
Adhala,Adhala,19.61222222,74.10138889,MAHARASHTRA,,
MHRAADARS,Adivare,16.71555556,73.36,MAHARASHTRA,,
Vaghroli Tank,Vaghroli Tank,22.88333333,73.29166667,GUJARAT,Shedhi,
Sarola,Sarola,18.21583333,76.1225,MAHARASHTRA,Savla Nala,
Adkur,Adkur,16.01333333,74.265,MAHARASHTRA,,
Ainari,Ainari,16.57472222,73.81444444,MAHARASHTRA,,
MHKPAJARS001,Ajara,16.10638889,74.20666667,MAHARASHTRA,,
Ajaypur,Ajaypur.,20.01166667,79.50416667,MAHARASHTRA,,
RJRATB2102,Bhopalsagar,25.72611111,74.12388889,RAJASTHAN,Nekhadi nadi,
KASDOL_011,Mahanadi_ Kasdol,21.63888889,82.39166667,CHHATTISGARH,Mahanadi,
KASDOL_011,Mahanadi_ Kasdol,21.63888889,82.39166667,CHHATTISGARH,Mahanadi,
Ajnad,Ajnad,21.24444444,76.1425,MAHARASHTRA,,
RJJHTB1431,Madansagar,24.54222222,76.17111111,RAJASTHAN,Kali Sindh River,
RJBLTA20609,Mandal,25.44805556,74.56694444,RAJASTHAN,Kothari River,
Nalwadi,Nalwadi,20.27833333,73.75805556,MAHARASHTRA,Kadva River,
MHKOABGD,Akale Bhorao Bridge,18.08888889,73.47444444,MAHARASHTRA,,
Akalpa,Akalpa,17.72777778,73.68333333,MAHARASHTRA,,
Akhavane,Akhavane,16.6,73.80055556,MAHARASHTRA,,
MHAMNHP0027,Akkalkuwa,21.53388889,74.01666667,GUJRAT,,
Akola,Akola,20.70777778,77.0025,MAHARASHTRA,,
MHWAAKARS,Akre,19.93888889,73.13833333,MAHARASHTRA,,
Aksapur,Aksapur,19.74527778,79.62972222,MAHARASHTRA,,
Usthale,Usthale (Hedpada),20.19888889,73.545,MAHARASHTRA,Damanganga,
Warkhed,Warkhed,21.12638889,76.78527778,MAHARASHTRA,Wan,
Dusarbeed,Dusarbeed,19.98388889,76.28111111,MAHARASHTRA,Purna River,
Alandi,Alandi,18.67638889,73.9,MAHARASHTRA,,
Ambad,Ambad,19.61333333,75.79388889,MAHARASHTRA,,
AmbavadeKrd,Ambavade-1 (Karad),17.25833333,74.05833333,MAHARASHTRA,,
RJKATB1602,Khirkhiri,26.35527778,76.72111111,RAJASTHAN,Gore Nadi,
Ambazari,Ambazari,21.71555556,79.09138889,MADHYA PRADESH,,
RJKOTB1706,Ranpur,25.03333333,75.82583333,RAJASTHAN,Chambal,
RJBHTB0423,Januthar,27.40194444,77.22333333,RAJASTHAN,Khari Nadi,
Ambe,Ambe,21.42888889,75.11138889,MAHARASHTRA,,
Jintur,Jintur,19.68333333,76.56666667,MAHARASHTRA,Akoli Nala,
Ambiwali,Ambiwali,18.0225,73.39166667,MAHARASHTRA,,
MP0213_Snwer,Sanwar,22.98055556,75.83,MADHYA PRADESH,Khan River,
amboli,Amboli,15.96111111,74,MAHARASHTRA,,
Newasa,Newasa,19.55083333,74.93777778,MAHARASHTRA,Pravara River,
Amboli,Amboli,18.94166667,73.60277778,MAHARASHTRA,,
Amdapur,Amdapur,20.40888889,76.44,MAHARASHTRA,,
Ambepada,Amepada,19.46222222,73.48388889,MAHARASHTRA,,
Amgaon,Amgaon_d,21.00583333,78.9425,MAHARASHTRA,,
AMGAON MAHAL,Amgaon Mahal,19.92555556,79.96916667,MAHARASHTRA,,
MHBDAIARS022,Amla,19.14,75.91888889,MAHARASHTRA,,
RJBATA30308,Kalisot,25.00277778,76.81111111,RAJASTHAN,Barni Nadi,
DD05,River CHENAB at AKHNOOR,32.89944444,74.7425,JAMMU & KASHMIR,Chenab,
Amla,Amla,20.88083333,78.01638889,MAHARASHTRA,,
MHAMNHP0110,Amravati,21.28333333,74.5,MAHARASHTRA,,
RGRG04,Hemtabad(Kulki River),25.69202778,88.14786111,WEST BENGAL,Nagar Nadi,
RGRG04,Hemtabad(Kulki River),25.69202778,88.14786111,WEST BENGAL,Nagar Nadi,
RJBLTB0508,B.K.Sareri,25.63388889,74.41805556,RAJASTHAN,Mansi River,
RJAJTA30009,Tajsarowar Arnia,25.99722222,75.02333333,RAJASTHAN,Dai River,
Erandol,Erandol,20.91583333,75.31944444,MAHARASHTRA,Anjani,
RJJHTB1443,Ramniwas Ghatod,24.47361111,75.92527778,RAJASTHAN,Rewa Nadi,
Amravati,Amravati,20.94305556,77.78333333,MAHARASHTRA,,
MHAMNHP0079,Amravati,21.278,74.49388889,MAHARASHTRA,,
RJUATB2613,Amba Mata,24.17861111,74.11277778,RAJASTHAN,Sarni,
MHAMNHP0111,Amravati Project,21.28333333,74.5,MAHARASHTRA,,
NAUKUCHIATAL1,NAUKUCHIATAL,29.32170556,79.58466,UTTARAKHAND,Kichha N,
NAUKUCHIATAL1,NAUKUCHIATAL,29.32170556,79.58466,UTTARAKHAND,Kichha N,
Pathri,Pathri,19.26111111,76.43472222,MAHARASHTRA,Godavari River,
TUNI,TUNI,17.37,82.55,ANDHRA PRADESH,Tandava,
Andhali,Andhali,17.75833333,74.48,MAHARASHTRA,,
MHAMNHP0049,Andura,20.88694444,76.85611111,MAHARASHTRA,,
RJSKTB2304,Pharaswali Dhani,27.55611111,75.34194444,RAJASTHAN,Sobawati,
MHAMNHP0068,Aner,21.31,75.14,MAHARASHTRA,,
MHAMNHP0105,Aner,21.32583333,75.13333333,MAHARASHTRA,,
b2ahqodrg,Durgapur Barrage,23.47672222,87.30344167,WEST BENGAL,Damodar,
MHAMNHP0104,Aner,21.32583333,75.13333333,MAHARASHTRA,,
Angivade,Angivade,16.07638889,73.92722222,MAHARASHTRA,,
MP0226_Rahtg,Rahatgarh,23.79833333,78.39805556,MADHYA PRADESH,Bina River,
RJBATB0316,Phaldi,25.10472222,76.64861111,RAJASTHAN,Bilas Nadi,
RJSKTB2309,Lachmanpura,27.86,75.79166667,RAJASTHAN,Dongar,
LOWERANICUT,Lower Anicut_,11.16194444,79.46666667,TAMILNADU,Coleroon,
LOWERANICUT,Lower Anicut_,11.16194444,79.46666667,TAMILNADU,Coleroon,
b2ahhskat,Katwa,23.64913611,88.13845833,WEST BENGAL,Bhagirathi,
Mandal (A),Mandal (A),23.2,71.83333333,GUJARAT,Okara,
Anjan Surji,Anjangaon Surji,21.1675,77.31583333,MAHARASHTRA,,
RJJLTB1320,Bomal X Bundh,25.05722222,71.86666667,RAJASTHAN,Sagi Nadi,
Mahesana,Mahesana,22.60833333,72.41111111,GUJARAT,Salva,
Anjansingi,Anjansingi,20.91638889,78.13805556,MAHARASHTRA,,
Kudkus,Khapri @ Kudkus,20.79388889,73.52083333,GUJARAT,Khapri,
Shevli,Shevli,19.83138889,76.26416667,MAHARASHTRA,Vidrupa N,
Apta,Apta,18.85527778,73.13222222,MAHARASHTRA,,
Ardal,Ardal,16.20916667,74.26083333,MAHARASHTRA,,
Patoda,Patoda,19.47083333,78.26944444,MAHARASHTRA,Kothari Nala,
RJBLTA30623,Devria Raipur,25.27916667,74.14416667,RAJASTHAN,Kosithalaya bala,
WadsaChinch,Wadsa (Chincholi),20.60833333,79.94138889,MAHARASHTRA,Wainganga River,
Arewada,Arewada,19.45555556,80.61611111,MAHARASHTRA,,
b2ahhshil,Hill Curt Road,26.71962222,88.41999167,WEST BENGAL,Mahananda,
MHDEVARARS,Arjuna Dam,16.70166667,73.71305556,MAHARASHTRA,,
MHDEVARARSOD,Arjuna Dam,16.70166667,73.71305556,MAHARASHTRA,,
MHRAARARSGTS,Arjuna Dam,16.70166667,73.71305556,MAHARASHTRA,,
OSMANSAGAR,OSMANSAGAR,17.38333333,78.31666667,TELANGANA,Musi River,
Rakshewadi,Rakshewadi,18.57083333,74.34583333,MAHARASHTRA,Bhima River,
ArviMothi,Arvi(Big),20.9925,78.22944444,MAHARASHTRA,,
ArviLahan,Arvi (Lahan),21.21527778,78.13527778,MAHARASHTRA,,
Patoda,Patoda,19.47083333,78.26944444,MAHARASHTRA,Kothari Nala,
AsegaonPurna,Asegaon,20.15,77.33666667,MAHARASHTRA,,
MHAMNHP0028,Ashte,21.26694444,74.20055556,MAHARASHTRA,,
RJJHTA21301,Chappi Dam,24.34305556,76.4725,RAJASTHAN,Chhapi Nadi,
ASHTI,Ashti,19.78333333,79.8,MAHARASHTRA,,
MP1100_Ktngi,Katangi_Jabalpur,23.42666667,79.8175,MADHYA PRADESH,Heran River,
Ashwi Bk,Ashwi Bk,19.52388889,74.36888889,MAHARASHTRA,,
RALLI LOCK,RALLI LOCK,16.82277778,81.78027778,ANDHRA PRADESH,Kattunga Drain,
Asurde,Asurde,17.35416667,73.52833333,MAHARASHTRA,,
Atpadi,Atpadi,17.42222222,74.94055556,MAHARASHTRA,,
RJBLTB0520,Shiv Sagar B.M,25.2025,75.36416667,RAJASTHAN,Mej River,
RJPATB1923,Pipla BUndh,25.11083333,73.31416667,RAJASTHAN,Mithri,
Sidhpur,Sidhpur,23.90305556,72.3675,GUJARAT,Saraswati River,
Petta,Petta,19.63555556,80.30638889,MAHARASHTRA,Akera N,
MHLTARRDS007,Aurad (Sh),18.05055556,76.92555556,MAHARASHTRA,,
RJBHTB0431,Richoli Bundh,27.00277778,77.3725,RAJASTHAN,Utangan or Gambhir,
Aurad (Sh),Aurad (Sh),18.07666667,76.91916667,MAHARASHTRA,,
markook,Markook,17.74722222,78.63333333,TELANGANA,Kodli,
Vijaysagar,Vijaysagar,22.97222222,69.70861111,GUJARAT,Bhukhi Nadi,
Aurangabad,Aurangabad,19.87,75.29083333,MAHARASHTRA,,
Pise,Pise,19.35694444,73.20083333,MAHARASHTRA,Bhatsol,
Somthan,Somthan,19.95,74.21666667,MAHARASHTRA,Dev Nadi,
Dhanera,Dhanera,24.53055556,72.03027778,GUJARAT,Sukal Nadi,
MHAMNHP0038,Aurangpur,20.81888889,77.53388889,MAHARASHTRA,,
HIMAYATSAGAR,HIMAYATSAGAR,17.33333333,78.36666667,TELANGANA,Musa,
Dhulgaon,Agran Dhulgaon,16.9625,74.92388889,MAHARASHTRA,Agrani,
RJSRTB2423,Mandwada Bundh,24.72916667,72.86361111,RAJASTHAN,Banas,
RJPATA31915,Sadri,25.19833333,73.46916667,RAJASTHAN,Sukri River,
RJDUTB1105,Bilpan,23.64972222,73.74138889,RAJASTHAN,Watrak,
Bhiloda,Bhiloda,23.76416667,73.25611111,GUJARAT,Hathmati,
Tuksai,Tuksai,18.69694444,73.3,MAHARASHTRA,Amba,
Ambedindori,Ambedindori,20.11666667,73.88333333,MAHARASHTRA,Banganga River,
Ambedindori,Ambedindori,20.11666667,73.88333333,MAHARASHTRA,Banganga River,
738D6634,Madhopur Headworks,32.36694444,75.59944444,PUNJAB,,
RJTOTB2508,Suthda,26.00583333,75.98055556,RAJASTHAN,Galwa Nadi,
RJBHTB0403,Chakkaji,27.12083333,77.54277778,RAJASTHAN,Banganga River,
PimpalgaonN,Pimpalgaon,18.83888889,77.78333333,MAHARASHTRA,Godavari River,
MHOBAPARS026,Awadshirpur,18.56777778,76.18388889,MAHARASHTRA,,
Kangule,Kangule,18.07,73.475,MAHARASHTRA,Savtri,
RGMD01,Irrigation Office(Mahananda ),23,88,WEST BENGAL,Damodar,
Awadshirpur,Awadshirpur,18.56777778,76.18388889,MAHARASHTRA,,
BAHULA,bahula,20.68611111,75.39194444,MAHARASHTRA,,
MP1100_Slwda,Saliwada_Jabalpur,23.11805556,80.01222222,MADHYA PRADESH,Gaur Nadi,
M39,Nimapada,20.05527778,86.02111111,ODISHA,Kushabhadra N,
Ballarpur,Ballarpur,19.85,79.35972222,MAHARASHTRA,,
Banda,Banda,15.81722222,73.86583333,MAHARASHTRA,,
SEETANAGARAM,SEETANAGARAM,18.69027778,83.32222222,ANDHRA PRADESH,Suvarnamukhi,
Bandhivali,Bandhivali,19.20194444,73.49083333,MAHARASHTRA,,
Bandiya,Bandiya,19.62138889,80.33138889,MAHARASHTRA,,
Bandra,Bandra,20.30694444,79.04472222,MAHARASHTRA,,
Damrencha,Damrencha,19.22555556,80.38722222,CHHATTISGARH,Indravati,
Bangarwadi,Bangarwadi,19.07388889,73.46972222,MAHARASHTRA,,
RGB12,Noyapara(Bramhani River),23.57285556,88.15697778,WEST BENGAL,Bhagirathi,
MHBDBPARS028,Bardapur,18.63916667,76.49444444,MAHARASHTRA,,
RGB07,Lakhipara,23.31625833,88.31200833,WEST BENGAL,Khari,
Barhanpur,Barhanpur,18.2,74.53305556,MAHARASHTRA,,
UBKOL,Uttarbhag,22.56666667,88.4,WEST BENGAL,Hooghly,
Barhe,Barhe,20.525,73.525,MAHARASHTRA,,
BARSINGI,Barsingi,21.41944444,78.45416667,MAHARASHTRA,,
Balvant Sagar,Balavantsagar,23.05,68.95,GUJARAT,Bandhawali Nadi,
Damrencha,Damrencha,19.22555556,80.38722222,CHHATTISGARH,Indravati,
MP0228_Mohnp,Mohanpur,24.82944444,78.07972222,MADHYA PRADESH,Orr Nadi,
NARAYANPURAM,NARAYANAPURAM,18.485,83.81277778,ANDHRA PRADESH,Nagavali,
NARAYANPURAM,NARAYANAPURAM,18.485,83.81277778,ANDHRA PRADESH,Nagavali,
RJKOTA11701,Kota Barrage,25.17722222,75.82527778,RAJASTHAN,Chambal,
RGCB17,Nagar Sahebganj(Buri Teesta),26.29461667,88.85871667,WEST BENGAL,Buri Tista N,
RGCB17,Nagar Sahebganj(Buri Teesta),26.29461667,88.85871667,WEST BENGAL,Buri Tista N,
RJJHTB1426,Narayanpura,24.67638889,76.13416667,RAJASTHAN,Au or Ahu R,
Bavghar,Bavghar,19.34972222,73.33861111,MAHARASHTRA,,
Bazargaon,Bazargaon,21.13972222,78.76916667,MAHARASHTRA,,
Bedgaon,Bedgaon,20.67888889,80.45638889,MAHARASHTRA,,
MHBDBDARS030,Beed,18.98972222,75.75,MAHARASHTRA,,
Khadak Ozar,Khadak Ozar,20.23805556,74.12777778,MAHARASHTRA,Vadali Nadi,
Wankaner,Wankaner,22.61333333,70.95305556,GUJARAT,Machhu,
Belpada,Belpada,19.38166667,73.73333333,MAHARASHTRA,,
Saraya,Saraya,22.59527778,70.68916667,GUJARAT,Demi Nadi,
cadajalgaon14,belval,20.97722222,75.69611111,MAHARASHTRA,,
KIM @ DEHLI,DEHLI,21.56388889,73.20611111,GUJARAT,Kim,
Belwandi,Belwandi (B.K.),18.70388889,74.61972222,MAHARASHTRA,,
Bendshil,Bendshil,19.11472222,73.24166667,MAHARASHTRA,,
Beni(BK),Beni(BK),16.77,73.42027778,MAHARASHTRA,,
Beriste,Beriste (Osarveera),20.00444444,73.36583333,MAHARASHTRA,,
Besur,Besur,20.68416667,79.26444444,MAHARASHTRA,,
RJSRTA22401,West Banas,24.6925,72.93055556,RAJASTHAN,Banas,
cadajalgaon73,betawad,21.16666667,74.91027778,MAHARASHTRA,,
Betawad,Betawad,21.16666667,74.91027778,MAHARASHTRA,,
RJCGTA30703,Matrikundia,25.03694444,74.31388889,RAJASTHAN,Banas,
RJKATA21602,Kalisil,26.26805556,76.76555556,RAJASTHAN,Karisil Nadi,
Bewaritola,Bewaritola,20.26777778,80.63888889,CHHATTISGARH,,
Bhagdal,Bhagdal,19.31472222,73.375,MAHARASHTRA,,
Bhagur,Bhagur,19.32472222,75.20722222,MAHARASHTRA,,
Bhategaon,Bhategaon,20.59055556,80.315,MAHARASHTRA,,
MHPNBGEPN001,Bhatghar,18.17416667,73.86972222,MAHARASHTRA,,
MHKABHEPAN,Bhatsanagar,19.51888889,73.40888889,MAHARASHTRA,,
Bhatsanagar,Bhatsanagar,19.51888889,73.40888889,MAHARASHTRA,,
b2ampsaml,Amlagora,22.847275,87.33488889,WEST BENGAL,Silabali N,
RJUATB2633,Tindol ka Naka,24.3275,73.54277778,RAJASTHAN,Manasi,
Nitawade,Nitawade,16.73861111,74.14166667,MAHARASHTRA,Kasari Nai,
Bhishi,Bhishi,20.63138889,79.40388889,MAHARASHTRA,,
00_mnd_008,Dhalpur Kullu Sarwari nala,31.95921667,77.11323889,HIMACHAL PRADESH,Sarbari Khad,
cadajalgaon1,cadajalgaon1,21.68583333,74.54444444,MAHARASHTRA,,
Bardoli,Mindhola @ Bardoli,21.11166667,73.11111111,GUJARAT,Mindhola,
MHWABWAGD,Bhiwandi-Wada Ambadi Bridge,19.96638889,73.12972222,MAHARASHTRA,,
Bhiwapur,Bhiwapur,20.76277778,79.52111111,MAHARASHTRA,,
MHAMNHP0069,Bhokarbari,20.917,75.116,MAHARASHTRA,,
MP0613_RMPLI,Rampaili,21.76083333,80.0375,MADHYA PRADESH,Chandan,
Visanagar,Visanagar,23.7,72.55416667,GUJARAT,Khari,
738C6A1C,Sumdo,32.0525,78.61944444,HIMACHAL PRADESH,,
RJKOTB1703,Chauma,25.09027778,76.11444444,RAJASTHAN,Aru N,
RJCGTA20706,Badgaon,24.70722222,74.08944444,RAJASTHAN,Berach,
b2bhhsmtb,Mathabhanga,26.3254,89.23495278,WEST BENGAL,Jaldhaka,
b2ahhsmkd,Makdampur,25.70842222,88.04652222,WEST BENGAL,Nagar Nadi,
RJRATB2113,Khandel,25.11694444,74.095,RAJASTHAN,Banas,
Golapangri,Golapangri,19.72777778,75.8375,MAHARASHTRA,Dudhana River,
MHAMNHP0016,Bhokarbari Dam Site,20.91777778,75.11638889,MAHARASHTRA,,
RGHR02,Ichhanagari,22.68305556,88.08638889,WEST BENGAL,Damodar,
RJPRTA12001,Jakham Dam,24.16972222,74.59111111,RAJASTHAN,Jakham,
YELERU,YELERU RESERVOIR,17.30472222,82.08888889,ANDHRA PRADESH,Eleru,
MHAMNHP0012,Bhormadi,21.34,75.46,MAHARASHTRA,,
MHAMNHP0007,Bhourad,20.28194444,76.85166667,MAHARASHTRA,,
Bhuishet,Bhuishet,19.38833333,73.00722222,MAHARASHTRA,,
RJUATA22607,Bagolia,24.81333333,73.95305556,RAJASTHAN,Berach,
cadajalgaon74,bhusawal,21.07277778,75.78388889,MAHARASHTRA,,
cadajalgaon75,bijgaon,21.29833333,74.12944444,MAHARASHTRA,,
Bijgaon,Bijgaon,21.29833333,74.12305556,MAHARASHTRA,,
Birmani,Birmani,17.83194444,73.56666667,MAHARASHTRA,,
MHKOBIARS,Birwadi,18.11083333,73.52916667,MAHARASHTRA,,
Bopapur,Bopapur,21.20277778,77.50694444,MAHARASHTRA,,
Borande,Borande,19.75305556,72.96527778,MAHARASHTRA,,
Borgaon,Borgaon,17.01305556,74.79166667,MAHARASHTRA,,
borgaon,Borgaon,18.92277778,73.27472222,MAHARASHTRA,,
b2bhhs31d,NH 31D Crossing,26.570375,88.93826944,WEST BENGAL,Jaldhaka,
RGHR10,Garchumuk,22.35944444,88.05972222,WEST BENGAL,Damodar,
MHAMNHP0072,Bori,20.777,75.038,MAHARASHTRA,,
b2ampsshy,Shyambati,23.71117778,87.68160556,WEST BENGAL,Kopai N,
b2ampsshy,Shyambati,23.71117778,87.68160556,WEST BENGAL,Kopai N,
MHAMNHP0113,Bori,20.78194444,75.04138889,MAHARASHTRA,,
BoriGad,BoriGad,19.50222222,79.94222222,MAHARASHTRA,,
MHAMNHP0002,Borkhed,20.56833333,76.27166667,MAHARASHTRA,,
MHAMNHP0019,Borkheda,21.30166667,74.98333333,MAHARASHTRA,,
Botezari,Botezari,20.19083333,79.44222222,MAHARASHTRA,,
RJJHTB1412,Pondla,24.00805556,75.90361111,RAJASTHAN,Kyasari Nadi,
MHAMNHP0082,Burai,21.152,74.576,MAHARASHTRA,,
RJSRTB2410,Akhelav Mansarovar,25.04111111,72.77583333,RAJASTHAN,Khari,
MHAMNHP0031,Burai Dam,21.15,74.36111111,MAHARASHTRA,,
RJBATB0308,Sehrol Talhati,25.20555556,77.07805556,RAJASTHAN,Kosam N,
RJAJTB0042,Madansagar Didwana,26.55277778,74.96722222,RAJASTHAN,Mashi River,
Gadbori,Gadbori,20.29055556,79.58861111,MAHARASHTRA,Human Nadi,
GothangaonBo,Gothangoan -Bori,20.7025,80.0375,MAHARASHTRA,Gadhavi,
Burgi,Burgi,19.51166667,80.33527778,MAHARASHTRA,,
Buttibori,Buttibori,20.91472222,79.00722222,MAHARASHTRA,,
CHEYYERU,CHEYYERU ( ANNAMAYYA ) PROJECT,14.20166667,79.02083333,ANDHRA PRADESH,Cheyyeru,
Bori,Bori,21.04305556,79.53888889,MAHARASHTRA,Nagan Nadi,
cadajalgaon39,cadajalgaon,21.00944444,75.7,MAHARASHTRA,,
cadajalgaon37,cadajalgaon,21.07638889,75.93722222,MAHARASHTRA,,
cadajalgaon38,cadajalgaon,21.07638889,75.93722222,MAHARASHTRA,,
RGJG14,Amguri(Kalkhawa River),26.60611111,88.85654444,WEST BENGAL,Jaldhaka,
Katragedda,Katragedda,18.96666667,83.8,ANDHRA PRADESH,Vamsadhara,
Katragedda,Katragedda,18.96666667,83.8,ANDHRA PRADESH,Vamsadhara,
cadajalgaon40,cadajalgaon,20.80555556,75.79166667,MAHARASHTRA,,
cadajalgaon41,cadajalgaon,21.6375,77.48555556,MAHARASHTRA,,
RJBATB0308,Sehrol Talhati,25.20555556,77.07805556,RAJASTHAN,Kosam N,
Padalse,Padalse,21.17722222,75.00388889,MAHARASHTRA,Tapi,
Padalse,Padalse,21.17722222,75.00388889,MAHARASHTRA,Tapi,
Malegaon,Malegaon,18.81666667,77.00416667,MAHARASHTRA,Yeldari,
Wadange,Wadange(R.T),16.71166667,74.28277778,MAHARASHTRA,Panchaganga River,
cadajalgaon100,cadajalgaon100,21.44777778,77.44333333,MAHARASHTRA,,
Choki,Choki,21.63861111,70.52638889,GUJARAT,Sonrakh,
cadajalgaon15,cadajalgaon15,20.71583333,76.21722222,MAHARASHTRA,,
cadajalgaon16,cadajalgaon16,20.175,76.565,MAHARASHTRA,,
RJJHTB1415,Singhpur,24.14416667,75.76527778,RAJASTHAN,Kanthari Nadi,
cadajalgaon17,cadajalgaon17,20.09777778,77.56,MAHARASHTRA,,
cadajalgaon18,cadajalgaon18,20.94111111,76.88527778,MAHARASHTRA,,
cadajalgaon19,cadajalgaon19,21.06388889,73.99638889,MAHARASHTRA,,
b2ahqobnk,Bankura,23.21338889,87.07673056,WEST BENGAL,Dwarkeswar,
Balundra,Balundra,24.365,72.53805556,GUJARAT,Banas,
cadajalgaon2,cadajalgaon2,21.24444444,76.1425,MAHARASHTRA,,
M36,Tarapur,20.35055556,86.20666667,ODISHA,Baranai N,
WYRA,WYRA RESERVOIR,17.18972222,80.34305556,TELANGANA,Wyra River,
GD PROJECT,GAJULA DINNA PROJECT,15.70472222,77.615,ANDHRA PRADESH,Hindri River,
cadajalgaon20,cadajalgaon20,21.1775,74.69555556,MAHARASHTRA,,
Hirapur,Hirapur,19.11666667,75.75,MAHARASHTRA,Sindphana N,
cadajalgaon21,cadajalgaon21,21.60805556,77.10777778,MAHARASHTRA,,
RJDUTA31009,Ankarsol ka Naka,23.61944444,73.68888889,RAJASTHAN,Watrak,
cadajalgaon22,cadajalgaon22,21.57472222,77.41666667,MAHARASHTRA,,
cadajalgaon23,cadajalgaon23,21.48861111,76.83416667,MAHARASHTRA,,
cadajalgaon24,cadajalgaon24,20.92222222,77.31305556,MAHARASHTRA,,
6hhsgopi,Gopiballavpur,22.21125278,87.87427778,WEST BENGAL,Kasai N,
RJAJTB0023,Sawarsagar dotli,26.29722222,75.06861111,RAJASTHAN,Sohadra/Sodara,
Cadajalgaon25,Cadajalgaon25,21.34083333,77.41111111,MAHARASHTRA,,
cadajalgaon3,cadajalgaon3,20.70777778,77.0025,MAHARASHTRA,,
cadajalgaon4,cadajalgaon4,20.93472222,74.46611111,MAHARASHTRA,,
cadajalgaon54,cadajalgaon54,21.56388889,74.48472222,MAHARASHTRA,,
RJDATB0904,Jagrampura,27.01083333,76.925,RAJASTHAN,Banganga River,
cadajalgaon55,cadajalgaon55,20.51944444,74.5375,MAHARASHTRA,,
cadajalgaon56,cadajalgaon56,20.55916667,74.53,MAHARASHTRA,,
RGHR09,Betai,22.35944444,88.05972222,WEST BENGAL,Damodar,
cadajalgaon57,cadajalgaon57,21.61416667,74.77888889,MADHYA PRADESH,,
cadajalgaon58,cadajalgaon58,21.27361111,74.50277778,MAHARASHTRA,,
RJJPTB1212,Nijhar,27.45527778,76,RAJASTHAN,Sahibi,
Phulambri,Phulambri,19.63333333,75.16666667,MAHARASHTRA,Shivna Nadi,
cadajalgaon71,cadajalgaon71,21.68583333,74.54444444,MAHARASHTRA,,
Kondapuram,Upputeru Anicut @Kondapuram,14.99722222,79.6775,ANDHRA PRADESH,Upputeru or Manneru,
cadajalgaon72,cadajalgaon72,21.68583333,72.54444444,GUJRAT,,
cadajalgaon722,cadajalgaon722,21.68583333,74.54444444,MAHARASHTRA,,
RJJHTB1408,Rajpura,24.4,76.2625,RAJASTHAN,Kali Sindh River,
WRD009,TUT,23.76972028,92.52422417,MIZORAM,Outur,
RGN24P04,Tentulia(Ichamati River),22.78794444,88.85152778,WEST BENGAL,Ichamati N,
Waghera,Waghera,20.06277778,73.50333333,MAHARASHTRA,Kashyapi R,
Cadajalgaon81,Cadajalgaon81,21.42888889,75.11138889,MAHARASHTRA,,
Cadajalgaon82,Cadajalgaon82,21.74166667,75.37916667,MADHYA PRADESH,,
RGH01,Jamna,23.15222222,88.23111111,WEST BENGAL,Hooghly,
Cadajalgaon83,Cadajalgaon83,21.70611111,75.71055556,MADHYA PRADESH,,
Jetpar,Jetpar,23.00555556,70.885,GUJARAT,Ghodadhrai River,
Cadajalgaon84,Cadajalgaon84,21.44444444,75.77277778,MADHYA PRADESH,,
Idar,Idar,23.84444444,73.00833333,GUJARAT,Debhoi,
RJBATB0307,Rampura,25.26027778,77.07805556,RAJASTHAN,Kosam N,
Cadajalgaon85,Cadajalgaon85,21.92305556,75.90638889,MADHYA PRADESH,,
b2ahhsshk,Shakepore,22.78473889,87.77729722,WEST BENGAL,Rupnarayan River,
MHAMNHP0010,Chalisgaon,20.46527778,75.01666667,MAHARASHTRA,,
Champa,Champa,20.97833333,79.19916667,MAHARASHTRA,,
Chandani,Chandani,18.25,75.53333333,MAHARASHTRA,,
Chandoh,Chandoh,18.96333333,74.17083333,MAHARASHTRA,,
Chandoli Bk,Chandoli Bk,17.13555556,73.86916667,MAHARASHTRA,,
Changdeo,Changdeo,21.07416667,76.00861111,MAHARASHTRA,,
MHAMNHP0106,Chankapur,20.49166667,73.88333333,MAHARASHTRA,,
MHAMNHP0070,Chankapur,20.491,73.883,MAHARASHTRA,,
MUKKAMAMIDI,MUKKAMAMIDI RESERVOIR,17.43333333,80.85,TELANGANA,Pamul Eru,
Chaparala,Chaparala.,19.58638889,79.81666667,MAHARASHTRA,,
Gadhechi,Gadhechi,22.36333333,69.06055556,GUJARAT,Rani Nadi,
Thangaon,Thangaon,19.69583333,73.93222222,MAHARASHTRA,Mahalungi N,
Thangaon,Thangaon,19.69583333,73.93222222,MAHARASHTRA,Mahalungi N,
KATEPURNA,Katepurna Dam,20.475,77.15,MAHARASHTRA,Kate Purna,
RJALTB0115,Gorpahari,27.37694444,76.83555556,RAJASTHAN,Banganga River,
Charwindad,Charwindad,20.72333333,80.35972222,MAHARASHTRA,,
Bhervi,Auranga @ Bhervi,20.60416667,73.11055556,GUJARAT,Auranga,
Chas,Chas,19.97,73.32861111,MAHARASHTRA,,
MHSRCMEPN002,Chaskman,18.95666667,73.78388889,MAHARASHTRA,,
DEVARAPALLI,DEVARAPALLI,17.99472222,82.98194444,ANDHRA PRADESH,Sarada,
